driver,step,n,event
BEA,accurate_valid,59,2025 Canadian Grand Prix
BOR,accurate_valid,62,2025 Canadian Grand Prix
COL,accurate_valid,62,2025 Canadian Grand Prix
GAS,accurate_valid,61,2025 Canadian Grand Prix
HAD,accurate_valid,60,2025 Canadian Grand Prix
HAM,accurate_valid,60,2025 Canadian Grand Prix
HUL,accurate_valid,62,2025 Canadian Grand Prix
LAW,accurate_valid,50,2025 Canadian Grand Prix
LEC,accurate_valid,60,2025 Canadian Grand Prix
NOR,accurate_valid,61,2025 Canadian Grand Prix
OCO,accurate_valid,62,2025 Canadian Grand Prix
PIA,accurate_valid,61,2025 Canadian Grand Prix
RUS,accurate_valid,61,2025 Canadian Grand Prix
SAI,accurate_valid,61,2025 Canadian Grand Prix
STR,accurate_valid,60,2025 Canadian Grand Prix
TSU,accurate_valid,62,2025 Canadian Grand Prix
VER,accurate_valid,61,2025 Canadian Grand Prix
ALB,no_pits,43,2025 Canadian Grand Prix
ALO,no_pits,60,2025 Canadian Grand Prix
ANT,no_pits,60,2025 Canadian Grand Prix
BEA,no_pits,59,2025 Canadian Grand Prix
BOR,no_pits,62,2025 Canadian Grand Prix
COL,no_pits,62,2025 Canadian Grand Prix
GAS,no_pits,61,2025 Canadian Grand Prix
HAD,no_pits,60,2025 Canadian Grand Prix
HAM,no_pits,60,2025 Canadian Grand Prix
HUL,no_pits,62,2025 Canadian Grand Prix
LAW,no_pits,50,2025 Canadian Grand Prix
LEC,no_pits,60,2025 Canadian Grand Prix
NOR,no_pits,61,2025 Canadian Grand Prix
OCO,no_pits,62,2025 Canadian Grand Prix
PIA,no_pits,61,2025 Canadian Grand Prix
RUS,no_pits,61,2025 Canadian Grand Prix
SAI,no_pits,61,2025 Canadian Grand Prix
STR,no_pits,60,2025 Canadian Grand Prix
TSU,no_pits,62,2025 Canadian Grand Prix
VER,no_pits,61,2025 Canadian Grand Prix
ALB,bounds,43,2025 Canadian Grand Prix
ALO,bounds,60,2025 Canadian Grand Prix
ANT,bounds,60,2025 Canadian Grand Prix
BEA,bounds,59,2025 Canadian Grand Prix
BOR,bounds,62,2025 Canadian Grand Prix
COL,bounds,62,2025 Canadian Grand Prix
GAS,bounds,61,2025 Canadian Grand Prix
HAD,bounds,60,2025 Canadian Grand Prix
HAM,bounds,60,2025 Canadian Grand Prix
HUL,bounds,62,2025 Canadian Grand Prix
LAW,bounds,50,2025 Canadian Grand Prix
