driver,step,n,event
COL,trimmed,3,2025 Canadian Grand Prix
GAS,trimmed,3,2025 Canadian Grand Prix
HAD,trimmed,7,2025 Canadian Grand Prix
HAM,trimmed,11,2025 Canadian Grand Prix
HUL,trimmed,6,2025 Canadian Grand Prix
LAW,trimmed,4,2025 Canadian Grand Prix
LEC,trimmed,13,2025 Canadian Grand Prix
NOR,trimmed,7,2025 Canadian Grand Prix
OCO,trimmed,9,2025 Canadian Grand Prix
PIA,trimmed,9,2025 Canadian Grand Prix
RUS,trimmed,3,2025 Canadian Grand Prix
SAI,trimmed,5,2025 Canadian Grand Prix
STR,trimmed,3,2025 Canadian Grand Prix
TSU,trimmed,3,2025 Canadian Grand Prix
VER,trimmed,3,2025 Canadian Grand Prix
